metric,source_file,i,j,value,err
bond0_xx-bond0_xx correlation function,example.out,0,0,1.67685219622757,0.004757186536842174
bond0_xx-bond0_xx correlation function,example.out,0,1,-0.861639794848526,0.01630906403566696
bond0_xx-bond0_xx correlation function,example.out,0,2,3.24635295778281,0.01038254841450811
bond0_xx-bond0_xx correlation function,example.out,0,3,-0.871815902530182,0.01925069625782265
bond0_xx-bond0_xx correlation function,example.out,0,4,3.23882743852925,0.00887840999701013
bond0_xx-bond0_xx correlation function,example.out,0,5,-0.785524256265477,0.01594621938771313
bond0_xx-bond0_xx correlation function,example.out,0,6,3.20401633616549,0.00938216435781731
bond0_xx-bond0_xx correlation function,example.out,0,7,-0.854288464117315,0.01165447740520188
bond0_xx-bond0_xx correlation function,example.out,1,0,-0.403977545511258,0.007869190020504948
bond0_xx-bond0_xx correlation function,example.out,1,1,3.33066052003016,0.007351351221419025
bond0_xx-bond0_xx correlation function,example.out,1,2,-0.861769342031966,0.02326377934895208
bond0_xx-bond0_xx correlation function,example.out,1,3,3.24503819695459,0.007197091023720112
bond0_xx-bond0_xx correlation function,example.out,1,4,-0.856848102365571,0.01648624017172159
bond0_xx-bond0_xx correlation function,example.out,1,5,3.25941328809306,0.008924655603669332
bond0_xx-bond0_xx correlation function,example.out,1,6,-0.796809843492283,0.01849942455656238
bond0_xx-bond0_xx correlation function,example.out,1,7,3.2694311270003,0.01136076771749566
bond0_xx-bond0_xx correlation function,example.out,2,0,3.3713707002251,0.01131059328668249
bond0_xx-bond0_xx correlation function,example.out,2,1,-0.830591754408083,0.0159489533074488
bond0_xx-bond0_xx correlation function,example.out,2,2,3.26340441999225,0.01062699496254003
bond0_xx-bond0_xx correlation function,example.out,2,3,-0.870969555301005,0.01594130085300638
bond0_xx-bond0_xx correlation function,example.out,2,4,3.24816475174342,0.007732601503031809
bond0_xx-bond0_xx correlation function,example.out,2,5,-0.881592135976784,0.0174040644162065
bond0_xx-bond0_xx correlation function,example.out,2,6,3.25128711519819,0.01184584908776239
bond0_xx-bond0_xx correlation function,example.out,2,7,-0.844864948709201,0.01056623676693137
bond0_xx-bond0_xx correlation function,example.out,3,0,-0.866341559252074,0.01499561943249148
bond0_xx-bond0_xx correlation function,example.out,3,1,3.28427792390372,0.01184312406502304
bond0_xx-bond0_xx correlation function,example.out,3,2,-0.807444293288855,0.01791037742622594
bond0_xx-bond0_xx correlation function,example.out,3,3,3.20305982549894,0.009903385653613582
bond0_xx-bond0_xx correlation function,example.out,3,4,-0.875666204992273,0.01370741933779571
bond0_xx-bond0_xx correlation function,example.out,3,5,3.23045217931851,0.008243345148501393
bond0_xx-bond0_xx correlation function,example.out,3,6,-0.853842573019139,0.01343529487007022
bond0_xx-bond0_xx correlation function,example.out,3,7,3.27241521937186,0.006435934828059855
bond0_xx-bond0_xx correlation function,example.out,4,0,3.28425480917252,0.008571574969109551
bond0_xx-bond0_xx correlation function,example.out,4,1,-0.832515624909551,0.01466555685353505
bond0_xx-bond0_xx correlation function,example.out,4,2,3.24832693644296,0.01085271713622156
bond0_xx-bond0_xx correlation function,example.out,4,3,-0.870964120713023,0.02277302315565819
bond0_xx-bond0_xx correlation function,example.out,4,4,3.22917555703956,0.0113998124851818
bond0_xx-bond0_xx correlation function,example.out,4,5,-0.871510065047622,0.02516258969036453
bond0_xx-bond0_xx correlation function,example.out,4,6,3.27212964309025,0.01427130653522103
bond0_xx-bond0_xx correlation function,example.out,4,7,-0.815681632922918,0.01171348787047959
bond0_xx-bond0_xx correlation function,example.out,5,0,-0.898586188965566,0.01197328471038997
bond0_xx-bond0_xx correlation function,example.out,5,1,3.26370800901479,0.01783811722113825
bond0_xx-bond0_xx correlation function,example.out,5,2,-0.822149458283743,0.01731115100022547
bond0_xx-bond0_xx correlation function,example.out,5,3,3.24740630331716,0.01182895597756207
bond0_xx-bond0_xx correlation function,example.out,5,4,-0.844698657644522,0.01920328950865921
bond0_xx-bond0_xx correlation function,example.out,5,5,3.22599884447613,0.01729467191743825
bond0_xx-bond0_xx correlation function,example.out,5,6,-0.856587536036012,0.01610036172433719
bond0_xx-bond0_xx correlation function,example.out,5,7,3.28845896133853,0.01489652862763084
bond0_xx-bond0_xx correlation function,example.out,6,0,3.35555468291273,0.007689996991737169
bond0_xx-bond0_xx correlation function,example.out,6,1,-0.799368825315236,0.01691371555773497
bond0_xx-bond0_xx correlation function,example.out,6,2,3.21888183984568,0.0139813609141091
bond0_xx-bond0_xx correlation function,example.out,6,3,-0.804637804896342,0.01993369840260941
bond0_xx-bond0_xx correlation function,example.out,6,4,3.18660018600568,0.01308131525767151
bond0_xx-bond0_xx correlation function,example.out,6,5,-0.855774910821471,0.01641321439848504
bond0_xx-bond0_xx correlation function,example.out,6,6,3.24490482064049,0.01126634687611983
bond0_xx-bond0_xx correlation function,example.out,6,7,-0.823035066670781,0.01084943790050484
bond0_xx-bond0_xx correlation function,example.out,7,0,-0.418883021680748,0.01003654452950923
bond0_xx-bond0_xx correlation function,example.out,7,1,3.30995724637653,0.01336540575285627
bond0_xx-bond0_xx correlation function,example.out,7,2,-0.852309593512574,0.01576738851166105
bond0_xx-bond0_xx correlation function,example.out,7,3,3.211793364013,0.01058808064247183
bond0_xx-bond0_xx correlation function,example.out,7,4,-0.849590790612567,0.02664024530897621
bond0_xx-bond0_xx correlation function,example.out,7,5,3.2420734055017,0.009456671572236595
bond0_xx-bond0_xx correlation function,example.out,7,6,-0.884338647007251,0.01741752572057878
bond0_xx-bond0_xx correlation function,example.out,7,7,3.30262080224316,0.007429260945592028
