filename,block,kx,ky,value,error
example.out,Sxx(q),0,0,0.01211877564376414,0.0003082517603666306
example.out,Sxx(q),0,1,0.112505792454958,0.0002488400075224266
example.out,Sxx(q),0,2,0.272133304126605,0.0002933657406076681
example.out,Sxx(q),0,3,0.425133291938255,0.0001738273546334976
example.out,Sxx(q),0,4,0.500466995900433,3.123613368646569e-05
example.out,Sxx(q),1,1,0.200078238273639,8.270604365366408e-05
example.out,Sxx(q),1,2,0.350887226547312,5.77603486170865e-05
example.out,Sxx(q),1,3,0.499114082049866,5.53200062675652e-06
example.out,Sxx(q),1,4,0.574464407023742,0.0001721159827417485
example.out,Sxx(q),2,2,0.497871308460444,5.970968678844333e-06
example.out,Sxx(q),2,3,0.646768417691169,5.747766585493327e-05
example.out,Sxx(q),2,4,0.727433497646146,0.0002816612803263038
example.out,Sxx(q),3,3,0.801012702517759,9.332448287408547e-05
example.out,Sxx(q),3,4,0.892331552541284,0.0002445760514353669
example.out,Sxx(q),4,4,1.00093075765827,0.0003498603693905704
