source_file,metric,i,j,value,err
example.out,bond0_xy-bond0_xy correlation function,0,0,0.301490452425821,0.01138684855296968
example.out,bond0_xy-bond0_xy correlation function,0,1,0.785878870861078,0.03506885911316734
example.out,bond0_xy-bond0_xy correlation function,0,2,0.572138182764155,0.0478977243709747
example.out,bond0_xy-bond0_xy correlation function,0,3,0.771203343609722,0.04665492671648417
example.out,bond0_xy-bond0_xy correlation function,0,4,0.586551836126437,0.04162759137914376
example.out,bond0_xy-bond0_xy correlation function,0,5,0.742373104971418,0.03434873377326613
example.out,bond0_xy-bond0_xy correlation function,0,6,0.725478453897268,0.03211448263841375
example.out,bond0_xy-bond0_xy correlation function,0,7,0.272787634400381,0.0163755008465426
example.out,bond0_xy-bond0_xy correlation function,1,0,0.319339147882283,0.00908211775759662
example.out,bond0_xy-bond0_xy correlation function,1,1,0.689130470868979,0.03126816933224807
example.out,bond0_xy-bond0_xy correlation function,1,2,0.69927236277942,0.03409493829254642
example.out,bond0_xy-bond0_xy correlation function,1,3,0.614498124614637,0.02898003239746174
example.out,bond0_xy-bond0_xy correlation function,1,4,0.770574082004874,0.02390097562940794
example.out,bond0_xy-bond0_xy correlation function,1,5,0.504844936672901,0.03076488379412146
example.out,bond0_xy-bond0_xy correlation function,1,6,0.855677879906856,0.02367929315729983
example.out,bond0_xy-bond0_xy correlation function,1,7,0.248310102799414,0.01377364463972768
example.out,bond0_xy-bond0_xy correlation function,2,0,0.558264871284042,0.02279679515273791
example.out,bond0_xy-bond0_xy correlation function,2,1,0.695119212324515,0.01122716154917341
example.out,bond0_xy-bond0_xy correlation function,2,2,0.645842460065793,0.02777844374558148
example.out,bond0_xy-bond0_xy correlation function,2,3,0.730364838039135,0.03679427646355585
example.out,bond0_xy-bond0_xy correlation function,2,4,0.612581966876612,0.03934638426946426
example.out,bond0_xy-bond0_xy correlation function,2,5,0.699409468724593,0.03668250017757994
example.out,bond0_xy-bond0_xy correlation function,2,6,0.680531760060031,0.03138057905438674
example.out,bond0_xy-bond0_xy correlation function,2,7,0.632573594685261,0.03318006409591612
example.out,bond0_xy-bond0_xy correlation function,3,0,0.720018467938629,0.03448150493589967
example.out,bond0_xy-bond0_xy correlation function,3,1,0.544513063812932,0.03103096356234747
example.out,bond0_xy-bond0_xy correlation function,3,2,0.823796128607504,0.03942707418761802
example.out,bond0_xy-bond0_xy correlation function,3,3,0.536353139973741,0.0250516676620267
example.out,bond0_xy-bond0_xy correlation function,3,4,0.820903208548382,0.02038643278605115
example.out,bond0_xy-bond0_xy correlation function,3,5,0.537978921347778,0.02604407726183286
example.out,bond0_xy-bond0_xy correlation function,3,6,0.784157351135419,0.01923053208805919
example.out,bond0_xy-bond0_xy correlation function,3,7,0.556763102541953,0.03003795246634216
example.out,bond0_xy-bond0_xy correlation function,4,0,0.624863382113354,0.01840955259622263
example.out,bond0_xy-bond0_xy correlation function,4,1,0.688547346199683,0.02530643473858689
example.out,bond0_xy-bond0_xy correlation function,4,2,0.629221766871852,0.03213748274725652
example.out,bond0_xy-bond0_xy correlation function,4,3,0.749772083535726,0.03553376141769762
example.out,bond0_xy-bond0_xy correlation function,4,4,0.62644970214591,0.0293116248304115
example.out,bond0_xy-bond0_xy correlation function,4,5,0.730335416622861,0.03360257043164071
example.out,bond0_xy-bond0_xy correlation function,4,6,0.604701825433836,0.01704694127767303
example.out,bond0_xy-bond0_xy correlation function,4,7,0.656839926595176,0.02297496024948814
example.out,bond0_xy-bond0_xy correlation function,5,0,0.71224251202849,0.03115400562954269
example.out,bond0_xy-bond0_xy correlation function,5,1,0.610098641859293,0.03603257742015203
example.out,bond0_xy-bond0_xy correlation function,5,2,0.745206102326629,0.03278612483467998
example.out,bond0_xy-bond0_xy correlation function,5,3,0.596259293851158,0.04635331233835718
example.out,bond0_xy-bond0_xy correlation function,5,4,0.782487069201126,0.03617038166635016
example.out,bond0_xy-bond0_xy correlation function,5,5,0.591527875070555,0.03288718351182903
example.out,bond0_xy-bond0_xy correlation function,5,6,0.704009316524833,0.04101551941972877
example.out,bond0_xy-bond0_xy correlation function,5,7,0.591994209146253,0.03667771107172185
example.out,bond0_xy-bond0_xy correlation function,6,0,0.620991254092174,0.03646274843181934
example.out,bond0_xy-bond0_xy correlation function,6,1,0.754867098744948,0.04097561677689861
example.out,bond0_xy-bond0_xy correlation function,6,2,0.532780731513225,0.04850695655136732
example.out,bond0_xy-bond0_xy correlation function,6,3,0.798892779013911,0.05045153854329317
example.out,bond0_xy-bond0_xy correlation function,6,4,0.600793501684816,0.03610752095117067
example.out,bond0_xy-bond0_xy correlation function,6,5,0.735430783961767,0.03589614855773977
example.out,bond0_xy-bond0_xy correlation function,6,6,0.601404624912526,0.03892812018116843
example.out,bond0_xy-bond0_xy correlation function,6,7,0.673086082996209,0.03685874675821366
example.out,bond0_xy-bond0_xy correlation function,7,0,0.6136388397944,0.03509687624130736
example.out,bond0_xy-bond0_xy correlation function,7,1,0.626059026166588,0.03181641676387277
example.out,bond0_xy-bond0_xy correlation function,7,2,0.783964009510686,0.03890303770558198
example.out,bond0_xy-bond0_xy correlation function,7,3,0.537844242377397,0.03363686542843552
example.out,bond0_xy-bond0_xy correlation function,7,4,0.819212423078702,0.01928195228082642
example.out,bond0_xy-bond0_xy correlation function,7,5,0.569047620297501,0.01999907197950682
example.out,bond0_xy-bond0_xy correlation function,7,6,0.730889905248507,0.02582015968041034
example.out,bond0_xy-bond0_xy correlation function,7,7,0.577954237948753,0.03247862700822625
