source_file,metric,i,j,value,err
example.out,bond_xy-bond_xy correlation function,0,0,0.136446822687514,0.005057773406132741
example.out,bond_xy-bond_xy correlation function,0,1,0.22923267914752,0.006611675378810692
example.out,bond_xy-bond_xy correlation function,0,2,0.188033162544845,0.007342835948352447
example.out,bond_xy-bond_xy correlation function,0,3,0.261541360058676,0.008009164764122643
example.out,bond_xy-bond_xy correlation function,0,4,0.184574818638769,0.007391319160414098
example.out,bond_xy-bond_xy correlation function,1,0,0.225091679379691,0.007418668651768188
example.out,bond_xy-bond_xy correlation function,1,1,0.168652738797477,0.007138051689343204
example.out,bond_xy-bond_xy correlation function,1,2,0.263497780901369,0.00773391993169902
example.out,bond_xy-bond_xy correlation function,1,3,0.183177956395473,0.007229808327042651
example.out,bond_xy-bond_xy correlation function,1,4,0.26367183984126,0.007742621078495059
example.out,bond_xy-bond_xy correlation function,2,0,0.174268103525953,0.008129125099684867
example.out,bond_xy-bond_xy correlation function,2,1,0.260417636522975,0.008081887081921039
example.out,bond_xy-bond_xy correlation function,2,2,0.183138381876034,0.007267341134740216
example.out,bond_xy-bond_xy correlation function,2,3,0.262578812397893,0.007719309605153584
example.out,bond_xy-bond_xy correlation function,2,4,0.184116560054908,0.007224694765724089
example.out,bond_xy-bond_xy correlation function,3,0,0.263710248537074,0.007749262866783378
example.out,bond_xy-bond_xy correlation function,3,1,0.183936567526935,0.007356558065303932
example.out,bond_xy-bond_xy correlation function,3,2,0.261634980725049,0.007802140882315346
example.out,bond_xy-bond_xy correlation function,3,3,0.184367700506066,0.007322229088732279
example.out,bond_xy-bond_xy correlation function,3,4,0.261666274089665,0.007861146457379287
example.out,bond_xy-bond_xy correlation function,4,0,0.186706064520608,0.007649338214051576
example.out,bond_xy-bond_xy correlation function,4,1,0.264087250298212,0.00786644348539404
example.out,bond_xy-bond_xy correlation function,4,2,0.182993184681038,0.007246536656333011
example.out,bond_xy-bond_xy correlation function,4,3,0.262457193679336,0.007709134305526675
example.out,bond_xy-bond_xy correlation function,4,4,0.183765375508161,0.007179520158474944
