source_file,metric,i,j,value,err
example.out,bonds x,0,0,-0.944442671579796,0.0008470302162700478
example.out,bonds x,0,1,0.224062766493055,0.003985104761345342
example.out,bonds x,0,2,-0.859677014946168,0.002398865756398688
example.out,bonds x,0,3,0.230958251271704,0.005018185433230017
example.out,bonds x,0,4,-0.857389228422086,0.001956533187292299
example.out,bonds x,0,5,0.208316394348007,0.00429827096555005
example.out,bonds x,0,6,-0.848369003256935,0.002609397278767168
example.out,bonds x,0,7,0.223199404319793,0.002971573548196045
example.out,bonds x,1,0,0.142531751263842,0.002775639426302158
example.out,bonds x,1,1,-0.878791342353472,0.002174381972436571
example.out,bonds x,1,2,0.228023666032411,0.006172936990505309
example.out,bonds x,1,3,-0.859013941312692,0.001245758062793227
example.out,bonds x,1,4,0.226818410061207,0.00445490736887169
example.out,bonds x,1,5,-0.86275255408974,0.002247278805061373
example.out,bonds x,1,6,0.211015857305729,0.004963300773227461
example.out,bonds x,1,7,-0.863163219089912,0.002882613640180604
example.out,bonds x,2,0,-0.88648449149534,0.002640765154793643
example.out,bonds x,2,1,0.219990920949002,0.004232944174247704
example.out,bonds x,2,2,-0.863788220572586,0.002556421656967351
example.out,bonds x,2,3,0.230298242554317,0.004094808770955686
example.out,bonds x,2,4,-0.859826699699542,0.001659343525722034
example.out,bonds x,2,5,0.233142517668358,0.004687132805251838
example.out,bonds x,2,6,-0.86052221262507,0.002797946267580297
example.out,bonds x,2,7,0.223514256887933,0.00265140301165858
example.out,bonds x,3,0,0.228281264737309,0.004018114212610111
example.out,bonds x,3,1,-0.869297619810739,0.002576312162417192
example.out,bonds x,3,2,0.213620308100288,0.004748889940902821
example.out,bonds x,3,3,-0.847803201877017,0.002032897037971949
example.out,bonds x,3,4,0.231917256431477,0.003550194273562703
example.out,bonds x,3,5,-0.855247107723369,0.002040491225906957
example.out,bonds x,3,6,0.226141825973062,0.003654794670846302
example.out,bonds x,3,7,-0.866229022725552,0.001780275165269712
example.out,bonds x,4,0,-0.869601239620803,0.002020140265417291
example.out,bonds x,4,1,0.220032680361284,0.004098372701500728
example.out,bonds x,4,2,-0.859803768913452,0.002668739437475672
example.out,bonds x,4,3,0.230765414873773,0.006128962876642653
example.out,bonds x,4,4,-0.854809659604989,0.002419792348520609
example.out,bonds x,4,5,0.230585682102994,0.00664473302002127
example.out,bonds x,4,6,-0.86607009841179,0.003450732940369185
example.out,bonds x,4,7,0.215958645985096,0.003121810007155665
example.out,bonds x,5,0,0.236646584004007,0.003305429873245882
example.out,bonds x,5,1,-0.86389353825869,0.004065567660245952
example.out,bonds x,5,2,0.218073994702371,0.00462856390778255
example.out,bonds x,5,3,-0.859570455633506,0.002870548669112255
example.out,bonds x,5,4,0.223580426223109,0.0051666431896531
example.out,bonds x,5,5,-0.853980554612174,0.004746956176580593
example.out,bonds x,5,6,0.226617359559754,0.004282339033487658
example.out,bonds x,5,7,-0.87030836027283,0.003506535609957189
example.out,bonds x,6,0,-0.882121271458964,0.001795820472312337
example.out,bonds x,6,1,0.211863102042752,0.004505419226725622
example.out,bonds x,6,2,-0.852007073579897,0.003476761996451725
example.out,bonds x,6,3,0.212936604777102,0.005194484178061776
example.out,bonds x,6,4,-0.843655567161792,0.003293928973925539
example.out,bonds x,6,5,0.226508096523506,0.004279216225133698
example.out,bonds x,6,6,-0.858948546717669,0.002789183455736338
example.out,bonds x,6,7,0.218101516141752,0.003005237166936479
example.out,bonds x,7,0,0.148228513816259,0.00354864492023904
example.out,bonds x,7,1,-0.873692115021407,0.003199531267537578
example.out,bonds x,7,2,0.225490845375377,0.004273195301288582
example.out,bonds x,7,3,-0.850189617770531,0.00293688233015641
example.out,bonds x,7,4,0.224622432125697,0.007093341238423493
example.out,bonds x,7,5,-0.85811016061872,0.002050519109870704
example.out,bonds x,7,6,0.234031724596779,0.004475012663471564
example.out,bonds x,7,7,-0.872181569003409,0.001707279815311097
