source_file,metric,i,j,value,err
example.out,bonds y,0,0,-0.111768131196421,0.0041618998717556
example.out,bonds y,0,1,-0.206773725910231,0.00931209095789308
example.out,bonds y,0,2,-0.15147610385306,0.01267496843818391
example.out,bonds y,0,3,-0.204027478089606,0.01247067952742056
example.out,bonds y,0,4,-0.155393449833403,0.011032010028133
example.out,bonds y,0,5,-0.196622364419777,0.009201752999659458
example.out,bonds y,0,6,-0.190975081957956,0.008463945680846996
example.out,bonds y,0,7,-0.101282645906634,0.006122605805649775
example.out,bonds y,1,0,-0.118928170246669,0.003383987017710272
example.out,bonds y,1,1,-0.181267504370185,0.00814869412375654
example.out,bonds y,1,2,-0.18455708918787,0.009102299904174509
example.out,bonds y,1,3,-0.162661073304368,0.007546417759180875
example.out,bonds y,1,4,-0.204087254297375,0.006444376583892154
example.out,bonds y,1,5,-0.134022315084591,0.008152453583400252
example.out,bonds y,1,6,-0.225188801663515,0.006341772101627424
example.out,bonds y,1,7,-0.09249617002244802,0.005202232277873769
example.out,bonds y,2,0,-0.148741771295987,0.006088987120522324
example.out,bonds y,2,1,-0.184295016260782,0.002919051082130929
example.out,bonds y,2,2,-0.170888491701415,0.007400042527751338
example.out,bonds y,2,3,-0.193598444449165,0.009745703821267136
example.out,bonds y,2,4,-0.161892879531953,0.01033075718617739
example.out,bonds y,2,5,-0.185274046383927,0.009667046366569988
example.out,bonds y,2,6,-0.180276639196236,0.008294878355023995
example.out,bonds y,2,7,-0.168898532353676,0.008938573245742086
example.out,bonds y,3,0,-0.190736465133558,0.00920645777218222
example.out,bonds y,3,1,-0.143941779188738,0.008204012255062593
example.out,bonds y,3,2,-0.218246256155043,0.01042926911365593
example.out,bonds y,3,3,-0.142147562100405,0.006576379120125834
example.out,bonds y,3,4,-0.217017781235254,0.005423133483287975
example.out,bonds y,3,5,-0.142699864035817,0.006793161014082363
example.out,bonds y,3,6,-0.207328479820818,0.005244856787650885
example.out,bonds y,3,7,-0.147267990340011,0.007937474779028312
example.out,bonds y,4,0,-0.164960407102564,0.00489450265066679
example.out,bonds y,4,1,-0.182473921264283,0.006788590224481295
example.out,bonds y,4,2,-0.166380229173516,0.008348849699791192
example.out,bonds y,4,3,-0.198865936058664,0.00934746070228016
example.out,bonds y,4,4,-0.165234317852049,0.007746580203025244
example.out,bonds y,4,5,-0.193355076987227,0.008947138455848344
example.out,bonds y,4,6,-0.160325126776816,0.004478565069272016
example.out,bonds y,4,7,-0.173610897926125,0.005971735196509583
example.out,bonds y,5,0,-0.18819766308094,0.008315871956330927
example.out,bonds y,5,1,-0.161480341447849,0.009597308465620574
example.out,bonds y,5,2,-0.197449975622091,0.00865735700942037
example.out,bonds y,5,3,-0.157676607726086,0.01232876126579697
example.out,bonds y,5,4,-0.20700837122225,0.009621191242614256
example.out,bonds y,5,5,-0.156588157469767,0.00862629382276298
example.out,bonds y,5,6,-0.186629888049521,0.01090007915943977
example.out,bonds y,5,7,-0.156326851759064,0.009623133731940925
example.out,bonds y,6,0,-0.164115080813612,0.00954345121956407
example.out,bonds y,6,1,-0.199886227140438,0.0109236348642198
example.out,bonds y,6,2,-0.141259810282681,0.01275757011713925
example.out,bonds y,6,3,-0.211439929962981,0.01337344595563658
example.out,bonds y,6,4,-0.158720516607596,0.00942966757563043
example.out,bonds y,6,5,-0.195088868800449,0.009450035187571327
example.out,bonds y,6,6,-0.158801047346381,0.01025578315309868
example.out,bonds y,6,7,-0.178688859591102,0.009844199414530597
example.out,bonds y,7,0,-0.164467390955061,0.009072303747940061
example.out,bonds y,7,1,-0.165565843969084,0.008533932817613119
example.out,bonds y,7,2,-0.207529608564775,0.01020156347210497
example.out,bonds y,7,3,-0.14236142508955,0.008915676047735252
example.out,bonds y,7,4,-0.216701923333891,0.005078063911821315
example.out,bonds y,7,5,-0.150822537191679,0.005234248365186701
example.out,bonds y,7,6,-0.193392242755531,0.006850033208592826
example.out,bonds y,7,7,-0.154461351973352,0.008452324615182421
